Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,104.627,104.73,104.85,104.31,13.90K,-0.03%
5/30/2024,104.658,105.095,105.135,104.575,17.83K,-0.36%
5/29/2024,105.034,104.59,105.085,104.515,17.66K,0.47%
5/28/2024,104.539,104.49,104.56,104.26,11.02K,-0.09%
5/27/2024,104.638,104.645,104.67,104.485,3.09K,0.00%
5/24/2024,104.638,104.99,105.05,104.55,10.42K,-0.38%
5/23/2024,105.036,104.84,105.04,104.475,15.07K,0.19%
5/22/2024,104.836,104.535,104.88,104.45,13.22K,0.27%
5/21/2024,104.556,104.49,104.67,104.365,12.27K,0.09%
5/20/2024,104.46,104.37,104.54,104.29,8.81K,0.12%
5/17/2024,104.33,104.39,104.685,104.28,11.71K,-0.01%
5/16/2024,104.345,104.105,104.5,103.965,15.31K,0.13%
5/15/2024,104.212,104.935,104.94,104.155,20.95K,-0.65%
5/14/2024,104.892,105.07,105.38,104.835,9.57K,-0.20%
5/13/2024,105.103,105.17,105.24,104.925,6.97K,-0.07%
5/10/2024,105.175,105.085,105.28,105.01,12.69K,0.07%
5/9/2024,105.104,105.41,105.64,105.065,12.64K,-0.31%
5/8/2024,105.426,105.3,105.535,105.28,8.46K,0.12%
5/7/2024,105.3,105.015,105.33,104.92,9.95K,0.36%
5/6/2024,104.919,104.89,105.075,104.745,8.71K,0.00%
5/3/2024,104.918,105.175,105.245,104.41,26.27K,-0.25%
5/2/2024,105.178,105.59,105.785,105.17,18.59K,-0.43%
5/1/2024,105.628,106.21,106.38,105.315,30.65K,-0.44%
4/30/2024,106.1,105.56,106.215,105.54,17.35K,0.62%
4/29/2024,105.448,105.88,106.005,105.33,26.82K,-0.34%
4/26/2024,105.804,105.455,106.06,105.27,19.70K,0.33%
4/25/2024,105.451,105.675,105.87,105.33,14.87K,-0.24%
4/24/2024,105.7,105.52,105.79,105.425,8.18K,0.18%
4/23/2024,105.505,105.96,106.075,105.445,17.74K,-0.39%
4/22/2024,105.913,105.885,106.235,105.825,13.35K,-0.07%
4/19/2024,105.984,106,106.185,105.67,16.55K,0.00%
4/18/2024,105.982,105.79,106.01,105.57,13.62K,0.21%
4/17/2024,105.764,106.16,106.255,105.685,15.88K,-0.28%
4/16/2024,106.065,105.99,106.325,105.87,16.57K,0.06%
4/15/2024,105.998,105.83,106.045,105.64,12.78K,0.16%
4/12/2024,105.832,105.07,105.9,105.025,15.71K,0.73%
4/11/2024,105.064,105.01,105.31,104.82,18.47K,0.03%
4/10/2024,105.031,103.89,105.085,103.795,22.29K,1.07%
4/9/2024,103.922,103.87,103.975,103.645,9.44K,0.02%
4/8/2024,103.902,104.06,104.21,103.86,14.70K,-0.16%
4/5/2024,104.071,104.005,104.46,103.91,18.00K,0.17%
4/4/2024,103.891,103.98,104.03,103.68,15.52K,-0.10%
4/3/2024,103.997,104.53,104.59,103.97,13.46K,-0.54%
4/2/2024,104.562,104.735,104.84,104.42,14.86K,-0.19%
4/1/2024,104.764,104.25,104.805,104.135,15.08K,0.47%
3/28/2024,104.269,104.135,104.45,104.03,13.70K,0.20%
3/27/2024,104.064,104.005,104.165,103.92,11.29K,0.07%
3/26/2024,103.991,103.925,104.03,103.71,8.55K,0.05%
